,x1,x2,x3,x4,x5,x7,y
1994,3831732.0,181.54,448.19,7571.0,6212.7,525.71,64.87
1995,3913824.0,214.63,549.97,9038.16,7601.73,618.25,99.75
1996,3928907.0,239.56,686.44,9905.31,8092.82,638.94,88.11
1997,4282130.0,261.58,802.59,10444.6,8767.98,656.58,106.07
1998,4453911.0,283.14,904.57,11255.7,9422.33,758.83,137.32
1999,4548852.0,308.58,1000.69,12018.52,9751.44,878.26,188.14
2000,4962579.0,348.09,1121.13,13966.53,11349.47,923.67,219.91
2001,5029338.0,387.81,1248.29,14694.0,11467.35,978.21,271.91
2002,5070216.0,453.49,1370.68,13380.47,10671.78,1009.24,269.1
2003,5210706.0,533.55,1494.27,15002.59,11570.58,1175.17,300.55
2004,5407087.0,598.33,1677.77,16884.16,13120.83,1348.93,338.45
2005,5744550.0,665.32,1905.84,18287.24,14468.24,1519.16,408.86
2006,5994973.0,738.97,2199.14,19850.66,15444.93,1696.38,476.72
2007,6236312.0,877.07,2624.24,22469.22,18951.32,1863.34,838.99
2008,6529045.0,1005.37,3187.39,25316.72,20835.95,2105.54,843.14
2009,6791495.0,1118.03,3615.77,27609.59,22820.89,2659.85,1107.67
2010,7110695.0,1304.48,4476.38,30658.49,25011.61,3263.57,1399.16
2011,7431755.0,1700.87,5243.03,34438.08,28209.74,3412.21,1535.14
2012,7512997.0,1969.51,5977.27,38053.52,30490.44,3758.39,1579.68
2013,7599295.0,2110.78,6882.85,42049.14,33156.83,4454.55,2088.14
2014,8142148.24,2239.29,7042.31,43611.84,35046.63,4600.4,
2015,8142148.24,2239.29,7042.31,43611.84,35046.63,4600.4,
